archivo_pdf,empresa,nro_documento,total_a_pagar,id_cliente,fecha_emision,fecha_vencimiento,consumo_periodo,estado
ARGOMEDO_AGUAS_ANDINAS_CALDERA_201907.pdf,Aguas Andinas,,,,,26-JUL-2019,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_201908.pdf,Aguas Andinas,,,,,27-AGO-2019,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_201909.pdf,Aguas Andinas,,,,,25-SEP-2019,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_201910.pdf,Aguas Andinas,,,,,24-OCT-2019,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_201911.pdf,Aguas Andinas,,,,,25-NOV-2019,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_201912.pdf,Aguas Andinas,,,,,26-DIC-2019,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202001.pdf,Aguas Andinas,,,,,24-ENE-2020,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202002.pdf,Aguas Andinas,,,,,25-FEB-2020,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202003.pdf,Aguas Andinas,,,,,24-MAR-2020,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202004.pdf,Aguas Andinas,,,,,23-ABR-2020,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202005.pdf,Aguas Andinas,,,,,25-MAY-2020,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202006.pdf,Aguas Andinas,,,,,23-JUN-2020,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202007.pdf,Aguas Andinas,,,,,24-JUL-2020,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202008.pdf,Aguas Andinas,,,,,24-AGO-2020,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202009.pdf,Aguas Andinas,,,,,24-SEP-2020,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202010.pdf,Aguas Andinas,,,,,26-OCT-2020,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202011.pdf,Aguas Andinas,,,,,24-NOV-2020,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202012.pdf,Aguas Andinas,,,,,24-DIC-2020,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202101.pdf,Aguas Andinas,,,,,25-ENE-2021,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202102.pdf,Aguas Andinas,,,,,23-FEB-2021,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202103.pdf,Aguas Andinas,,,,,24-MAR-2021,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202104.pdf,Aguas Andinas,,,,,26-ABR-2021,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202105.pdf,Aguas Andinas,,,,,25-MAY-2021,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202106.pdf,Aguas Andinas,,,,,23-JUN-2021,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202107.pdf,Aguas Andinas,,,,,26-JUL-2021,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202108.pdf,Aguas Andinas,,,,,25-AGO-2021,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202109.pdf,Aguas Andinas,,,,,24-SEP-2021,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202110.pdf,Aguas Andinas,,,,,25-OCT-2021,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202111.pdf,Aguas Andinas,,,,,24-NOV-2021,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202112.pdf,Aguas Andinas,,,,,24-DIC-2021,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202201.pdf,Aguas Andinas,,,,,25-ENE-2022,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202202.pdf,Aguas Andinas,,,,,23-FEB-2022,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202203.pdf,Aguas Andinas,,,,,23-MAR-2022,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202204.pdf,Aguas Andinas,,,,,25-ABR-2022,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202205.pdf,Aguas Andinas,,,,,25-MAY-2022,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202206.pdf,Aguas Andinas,,,,,23-JUN-2022,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202207.pdf,Aguas Andinas,,,,,25-JUL-2022,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202208.pdf,Aguas Andinas,,,,,25-AGO-2022,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202209.pdf,Aguas Andinas,221235189,12.0,2392497-8,03-SEP-2022,26-SEP-2022,1084.67 m3,OK
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202210.pdf,Aguas Andinas,223111541,12.0,2392497-8,03-OCT-2022,24-OCT-2022,1044.35 m3,OK
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202211.pdf,Aguas Andinas,225008841,10.0,2392497-8,03-NOV-2022,24-NOV-2022,900.45 m3,OK
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202212.pdf,Aguas Andinas,226878423,11.0,2392497-8,02-DIC-2022,26-DIC-2022,1009.36 m3,OK
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202301.pdf,Aguas Andinas,228795838,947663.0,2392497-8,02-ENE-2023,25-ENE-2023,810.6 m3,OK
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202302.pdf,Aguas Andinas,231927586,10.0,2392497-8,02-FEB-2023,22-FEB-2023,934.85 m3,OK
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202303.pdf,Aguas Andinas,234053725,823635.0,2392497-8,03-MAR-2023,27-MAR-2023,693.21 m3,OK
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202304.pdf,Aguas Andinas,236007108,935350.0,2392497-8,02-ABR-2023,24-ABR-2023,787.33 m3,OK
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202305.pdf,Aguas Andinas,237891797,12.0,2392497-8,03-MAY-2023,25-MAY-2023,1061.62 m3,OK
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202306.pdf,Aguas Andinas,239847528,11.0,2392497-8,02-JUN-2023,23-JUN-2023,1006.81 m3,OK
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202307.pdf,Aguas Andinas,241771750,14.0,2392497-8,03-JUL-2023,25-JUL-2023,1236.81 m3,OK
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202308.pdf,Aguas Andinas,243621247,15.0,2392497-8,02-AGO-2023,24-AGO-2023,1270.44 m3,OK
